iter	Passed	Remaining
590	48462	33538
591	48551	33461
592	48627	33374
593	48709	33292
594	48786	33207
595	48867	33124
596	48964	33053
597	49061	32981
598	49149	32903
599	49230	32820
600	49312	32737
601	49394	32656
602	49468	32568
603	49566	32497
604	49661	32423
605	49760	32352
606	49862	32283
607	49947	32203
608	50026	32118
609	50111	32038
610	50185	31951
611	50269	31870
612	50350	31787
613	50439	31709
614	50516	31624
615	50606	31547
616	50696	31469
617	50787	31393
618	50865	31308
619	50946	31225
620	51024	31140
621	51110	31060
622	51196	30980
623	51278	30898
624	51363	30818
625	51442	30733
626	51518	30647
627	51609	30571
628	51696	30492
629	51777	30409
630	51855	30324
631	51931	30238
632	52006	30152
633	52091	30071
634	52174	29990
635	52272	29916
636	52383	29851
637	52481	29777
638	52581	29705
639	52679	29631
640	52762	29550
641	52849	29470
642	52938	29392
643	53028	29313
644	53129	29241
645	53230	29169
646	53339	29101
647	53449	29034
648	53540	28956
649	53651	28889
650	53743	28811
651	53826	28729
652	53913	28649
653	53992	28564
654	54085	28487
655	54175	28408
656	54253	28324
657	54338	28242
658	54424	28161
659	54534	28093
660	54622	28013
661	54703	27930
662	54788	27848
663	54868	27764
664	54949	27681
665	55026	27595
666	55116	27516
667	55193	27431
668	55274	27348
669	55351	27262
670	55433	27179
671	55513	27096
672	55602	27016
673	55695	26938
674	55771	26852
675	55856	26771
676	55940	26689
677	56025	26607
678	56106	26524
679	56187	26441
680	56273	26359
681	56356	26277
682	56431	26191
683	56523	26113
684	56608	26031
685	56708	25957
686	56784	25871
687	56876	25792
688	56974	25717
689	57074	25642
690	57164	25562
691	57257	25484
692	57348	25405
693	57428	25321
694	57517	25241
695	57609	25162
696	57695	25081
697	57779	24998
698	57868	24919
699	57962	24840
700	58044	24757
701	58130	24676
702	58215	24594
703	58289	24508
704	58365	24422
705	58487	24356
706	58584	24278
707	58681	24202
708	58758	24116
709	58877	24048
710	58957	23964
711	59053	23886
712	59138	23804
713	59237	23728
714	59334	23650
715	59427	23571
716	59531	23497
717	59622	23417
718	59706	23334
719	59787	23250
720	59891	23175
721	59998	23102
722	60097	23025
723	60190	22945
724	60273	22862
725	60360	22780
726	60456	22702
727	60546	22621
728	60638	22541
729	60740	22465
730	60829	22384
731	60910	22300
732	60986	22214
733	61068	22131
734	61148	22046
735	61240	21966
736	61355	21894
737	61442	21812
738	61517	21726
739	61607	21645
740	61687	21561
741	61759	21474
742	61878	21403
743	61985	21328
744	62076	21247
745	62154	21162
746	62239	21079
747	62314	20993
748	62397	20910
749	62475	20825
750	62550	20739
751	62630	20654
752	62711	20570
753	62793	20487
754	62874	20403
755	62951	20317
756	63032	20233
757	63147	20160
758	63250	20083
759	63334	20000
760	63408	19914
761	63484	19828
762	63567	19745
763	63648	19661
764	63749	19583
765	63859	19507
766	63948	19426
767	64041	19345
768	64119	19260
769	64190	19173
770	64289	19095
771	64406	19021
772	64504	18942
773	64587	18858
774	64665	18773
775	64754	18691
776	64835	18607
777	64912	18522
778	64983	18435
779	65070	18353
780	65159	18271
781	65242	18187
782	65324	18103
783	65408	18020
784	65492	17937
785	65581	17855
786	65660	17770
787	65742	17687
788	65848	17609
789	65942	17529
790	66026	17445
791	66109	17361
792	66199	17280
793	66275	17194
